date	type	location	count	response
2010-05-01	False Alarm	Queens	752	263
2010-05-01	Medical False Alarm	Citywide	431	247
2010-05-01	Medical False Alarm	Manhattan	104	243
2010-05-01	Medical False Alarm	The Bronx	107	249
2010-05-01	Medical False Alarm	Staten Island	16	248
2010-05-01	Medical False Alarm	Brooklyn	128	237
2010-05-01	Medical False Alarm	Queens	76	263
2010-05-01	All Fire/Emergency Incidents	Citywide	43848	271
2010-05-01	All Fire/Emergency Incidents	Manhattan	11363	274
2010-05-01	All Fire/Emergency Incidents	The Bronx	8748	283
2010-05-01	All Fire/Emergency Incidents	Staten Island	2410	289
2010-05-01	All Fire/Emergency Incidents	Brooklyn	12055	244
2010-05-01	All Fire/Emergency Incidents	Queens	9272	288
2010-06-01	Structural Fires	Citywide	1937	238
2010-06-01	Structural Fires	Manhattan	422	241
2010-06-01	Structural Fires	The Bronx	402	246
2010-06-01	Structural Fires	Staten Island	93	290
2010-06-01	Structural Fires	Brooklyn	663	212
2010-06-01	Structural Fires	Queens	357	263
2010-06-01	Non Structural Fires	Citywide	1741	259
2010-06-01	Non Structural Fires	Manhattan	426	258
2010-06-01	Non Structural Fires	The Bronx	312	270
2010-06-01	Non Structural Fires	Staten Island	106	291
2010-06-01	Non Structural Fires	Brooklyn	496	236
2010-06-01	Non Structural Fires	Queens	401	270
2010-06-01	Medical Emergencies	Citywide	19256	256
2010-06-01	Medical Emergencies	Manhattan	5342	259
2010-06-01	Medical Emergencies	The Bronx	3519	264
2010-06-01	Medical Emergencies	Staten Island	943	270
2010-06-01	Medical Emergencies	Brooklyn	5472	234
2010-06-01	Medical Emergencies	Queens	3980	273
2010-06-01	Non Medical Emergencies	Citywide	17689	299
2010-06-01	Non Medical Emergencies	Manhattan	4820	301
2010-06-01	Non Medical Emergencies	The Bronx	3853	315
2010-06-01	Non Medical Emergencies	Staten Island	967	302
2010-06-01	Non Medical Emergencies	Brooklyn	4650	268
2010-06-01	Non Medical Emergencies	Queens	3399	319
2010-06-01	False Alarm	Citywide	2695	261
2010-06-01	False Alarm	Manhattan	497	265
2010-06-01	False Alarm	The Bronx	780	278
2010-06-01	False Alarm	Staten Island	202	249
2010-06-01	False Alarm	Brooklyn	434	232
2010-06-01	False Alarm	Queens	782	261
2010-06-01	Medical False Alarm	Citywide	460	254
2010-06-01	Medical False Alarm	Manhattan	127	251
2010-06-01	Medical False Alarm	The Bronx	83	265
2010-06-01	Medical False Alarm	Staten Island	19	262
2010-06-01	Medical False Alarm	Brooklyn	124	235
2010-06-01	Medical False Alarm	Queens	107	272
2010-06-01	All Fire/Emergency Incidents	Citywide	43778	274
2010-06-01	All Fire/Emergency Incidents	Manhattan	11634	279
2010-06-01	All Fire/Emergency Incidents	The Bronx	8949	289
2010-06-01	All Fire/Emergency Incidents	Staten Island	2330	284
2010-06-01	All Fire/Emergency Incidents	Brooklyn	11839	247
2010-06-01	All Fire/Emergency Incidents	Queens	9026	289
